Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Nordic journal of psychiatry.,Nord J Psychiatry,0803-9488,1502-4725,England,Psychiatry; Psychopharmacology,1999,100927567
Zeitschrift für Psychosomatische Medizin und Psychotherapie.,Z Psychosom Med Psychother,1438-3608,2196-8349,Germany,Psychiatry; Psychophysiology,1999,100886617
American Indian and Alaska native mental health research : the journal of the National Center.,Am Indian Alsk Native Ment Health Res,,1533-7731,United States,Psychology,1999,100970957
Cultural diversity & ethnic minority psychology.,Cultur Divers Ethnic Minor Psychol,1099-9809,,United States,Psychology; Social Sciences,1999,100956435
The journal of behavioral health services & research.,J Behav Health Serv Res,1094-3412,1556-3308,United States,Behavioral Sciences; Health Services; Health Services Research,1998,9803531
Developmental science.,Dev Sci,1363-755X,1467-7687,England,Psychology,1998,9814574
The Spanish journal of psychology.,Span J Psychol,1138-7416,1988-2904,England,Psychology,1998,101095192
Archives of women's mental health.,Arch Womens Ment Health,1434-1816,1435-1102,Austria,Psychology; Women's Health,1998,9815663
Journal of lesbian studies.,J Lesbian Stud,1089-4160,1540-3548,England,Behavioral Sciences,1997,9891002
Health education & behavior : the official publication of the Society for Public Health Education.,Health Educ Behav,1090-1981,1552-6127,United States,Behavioral Sciences; Education; Public Health,1997,9704962
Applied psychophysiology and biofeedback.,Appl Psychophysiol Biofeedback,1090-0586,1573-3270,Germany,Behavioral Sciences; Psychophysiology,1997,9712383
Transcultural psychiatry.,Transcult Psychiatry,1363-4615,1461-7471,England,Psychiatry,1997,9708119
Depression and anxiety.,Depress Anxiety,1091-4269,1520-6394,United States,Psychiatry,1997,9708816
International journal of psychiatry in clinical practice.,Int J Psychiatry Clin Pract,1365-1501,1471-1788,England,Psychiatry,1997,9709509
Autism : the international journal of research and practice.,Autism,1362-3613,1461-7005,England,Psychiatry; Psychology,1997,9713494
Trends in cognitive sciences.,Trends Cogn Sci,1364-6613,1879-307X,England,Psychology,1997,9708669
"Personality and social psychology review : an official journal of the Society for Personality and Social Psychology, Inc.",Pers Soc Psychol Rev,1088-8683,1532-7957,United States,Psychology; Social Sciences,1997,9703164
Journal of intellectual & developmental disability.,J Intellect Dev Disabil,1366-8250,1469-9532,England,Psychiatry,1996,9610837
Journal of applied research in intellectual disabilities : JARID.,J Appl Res Intellect Disabil,1360-2322,1468-3148,England,Psychiatry,1996,9613616
Journal of attention disorders.,J Atten Disord,1087-0547,1557-1246,United States,Psychiatry,1996,9615686
British journal of health psychology.,Br J Health Psychol,1359-107X,2044-8287,England,Psychology,1996,9605409
Psychological methods.,Psychol Methods,1082-989X,1939-1463,United States,Psychology,1996,9606928
Journal of health psychology.,J Health Psychol,1359-1053,1461-7277,England,Psychology,1996,9703616
Sleep & breathing = Schlaf & Atmung.,Sleep Breath,1520-9512,1522-1709,Germany,Psychophysiology; Pulmonary Medicine,1996,9804161
Archives of suicide research : official journal of the International Academy for Suicide Research.,Arch Suicide Res,1381-1118,1543-6136,England,Behavioral Sciences,1995,9504451
Neurobiology of learning and memory.,Neurobiol Learn Mem,1074-7427,1095-9564,United States,Behavioral Sciences; Biology; Neurology,1995,9508166
Neurocase.,Neurocase,1355-4794,1465-3656,England,Behavioral Sciences; Neurology; Psychiatry; Psychology,1995,9511374
Psychiatric rehabilitation journal.,Psychiatr Rehabil J,1095-158X,1559-3126,United States,Psychiatry,1995,9601800
Psychiatric services : a journal of the American Psychiatric Association.,Psychiatr Serv,1075-2730,1557-9700,United States,Psychiatry,1995,9502838
Sexual abuse : a journal of research and treatment.,Sex Abuse,1079-0632,1573-286X,United States,Psychiatry,1995,9506704
Journal of experimental psychology. Applied.,J Exp Psychol Appl,1076-898X,1939-2192,United States,Psychology,1995,9507618
International journal of behavioral medicine.,Int J Behav Med,1070-5503,1532-7558,England,Behavioral Sciences,1994,9421097
Assessment.,Assessment,1073-1911,1552-3489,United States,Psychology,1994,9431219
Journal of clinical psychology in medical settings.,J Clin Psychol Med Settings,1068-9583,1573-3572,United States,Psychology,1994,9435680
Psychonomic bulletin & review.,Psychon Bull Rev,1069-9384,1531-5320,United States,Psychology,1994,9502924
Behavioural and cognitive psychotherapy.,Behav Cogn Psychother,1352-4658,1469-1833,United States,Behavioral Sciences; Psychiatry,1993,9418292
Harvard review of psychiatry.,Harv Rev Psychiatry,1067-3229,1465-7309,United States,Psychiatry,1993,9312789
Clinical psychology & psychotherapy.,Clin Psychol Psychother,1063-3995,1099-0879,England,Psychiatry; Psychology; Therapeutics,1993,9416196
Memory.,Memory,0965-8211,1464-0686,England,Psychology,1993,9306862
Canadian journal of experimental psychology = Revue canadienne de psychologie expérimentale.,Can J Exp Psychol,1196-1961,1878-7290,Canada,Psychology,1993,9315513
Experimental and clinical psychopharmacology.,Exp Clin Psychopharmacol,1064-1297,1936-2293,United States,Psychopharmacology,1993,9419066
Journal of child sexual abuse.,J Child Sex Abus,1053-8712,1547-0679,United States,Behavioral Sciences; Psychiatry,1992,9301157
"Anxiety, stress, and coping.",Anxiety Stress Coping,1061-5806,1477-2205,England,Behavioral Sciences; Psychology,1992,9212242
Journal of intellectual disability research : JIDR.,J Intellect Disabil Res,0964-2633,1365-2788,England,Psychiatry,1992,9206090
Journal of mental health.,J Ment Health,0963-8237,1360-0567,England,Psychiatry; Psychology,1992,9212352
Consciousness and cognition.,Conscious Cogn,1053-8100,1090-2376,United States,Psychology; Psychophysiology,1992,9303140
Journal of sleep research.,J Sleep Res,0962-1105,1365-2869,England,Psychophysiology,1992,9214441
Criminal behaviour and mental health : CBMH.,Crim Behav Ment Health,0957-9664,1471-2857,England,Behavioral Sciences; Psychology,1991,9309668
Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists.,Australas Psychiatry,1039-8562,1440-1665,England,Psychiatry,1991,9613603
International journal of methods in psychiatric research.,Int J Methods Psychiatr Res,1049-8931,1557-0657,United States,Psychiatry,1991,9111433
European psychiatry : the journal of the Association of European Psychiatrists.,Eur Psychiatry,0924-9338,1778-3585,England,Psychiatry,1991,9111820
Psychotherapy research : journal of the Society for Psychotherapy Research.,Psychother Res,1050-3307,1468-4381,England,Psychiatry; Psychology; Therapeutics,1991,9110958
Brain pathology.,Brain Pathol,1015-6305,1750-3639,Switzerland,Brain; Pathology,1990,9216781
Türk psikiyatri dergisi = Turkish journal of psychiatry.,Turk Psikiyatri Derg,1300-2163,2651-3463,Turkey,Psychiatry,1990,9425936
Vertex : revista argentina de psiquiatriá,Vertex,0327-6139,2718-904X,Argentina,Psychiatry,1990,9440528
Journal of gambling studies,J Gambl Stud,1050-5350,1573-3602,United States,Psychology,1990,9425991
Psychological science.,Psychol Sci,0956-7976,1467-9280,United States,Psychology,1990,9007542
European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology.,Eur Neuropsychopharmacol,0924-977X,1873-7862,Netherlands,Psychopharmacology,1990,9111390
Behavioural pharmacology.,Behav Pharmacol,0955-8810,1473-5849,England,Behavioral Sciences; Pharmacology,1989,9013016
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry.,Acad Psychiatry,1042-9670,1545-7230,United States,Psychiatry,1989,8917200
International review of psychiatry.,Int Rev Psychiatry,0954-0261,1369-1627,England,Psychiatry,1989,8918131
Psychiatria Danubina.,Psychiatr Danub,0353-5053,,Croatia,Psychiatry,1989,9424753
Development and psychopathology.,Dev Psychopathol,0954-5794,1469-2198,United States,Psychiatry; Psychology,1989,8910645
Psychological assessment.,Psychol Assess,1040-3590,1939-134X,United States,Psychology,1989,8915253
Psicothema.,Psicothema,0214-9915,1886-144X,Spain,Psychology,1989,101189384
Behavioural neurology.,Behav Neurol,0953-4180,1875-8584,Netherlands,Behavioral Sciences; Neurology,1988,8914585
Behavioral medicine.,Behav Med,0896-4289,1940-4026,United States,Behavioral Sciences; Psychiatry,1988,8804264
Current opinion in psychiatry.,Curr Opin Psychiatry,0951-7367,1473-6578,United States,Psychiatry,1988,8809880
Irish journal of psychological medicine.,Ir J Psychol Med,0790-9667,2051-6967,England,Psychiatry,1988,8900208
Schizophrenia research.,Schizophr Res,0920-9964,1573-2509,Netherlands,Psychiatry,1988,8804207
Journal of sport & exercise psychology.,J Sport Exerc Psychol,0895-2779,1543-2904,United States,Psychology; Sports Medicine,1988,8809258
Epilepsy research.,Epilepsy Res,0920-1211,1872-6844,Netherlands,Brain; Neurology,1987,8703089
Research in developmental disabilities.,Res Dev Disabil,0891-4222,1873-3379,United States,Psychiatry,1987,8709782
Journal of anxiety disorders.,J Anxiety Disord,0887-6185,1873-7897,Netherlands,Psychiatry,1987,8710131
Journal of personality disorders.,J Pers Disord,0885-579X,1943-2763,United States,Psychiatry; Psychology,1987,8710838
Cognition & emotion.,Cogn Emot,0269-9931,1464-0600,England,Psychology,1987,8710375
Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43).,J Fam Psychol,0893-3200,1939-1293,United States,Psychology,1987,8802265
Journal of cognitive psychotherapy.,J Cogn Psychother,0889-8391,1938-887X,United States,Psychology,1987,8806397
Psychology & health.,Psychol Health,0887-0446,1476-8321,England,Psychology,1987,8807983
Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors.,Psychol Addict Behav,0893-164X,1939-1501,United States,Psychology; Substance-Related Disorders,1987,8802734
Journal of psychopharmacology,J Psychopharmacol,0269-8811,1461-7285,United States,Psychopharmacology,1987,8907828
Violence and victims.,Violence Vict,0886-6708,,United States,Behavioral Sciences; Psychology,1986,8916436
Psychiatria Hungarica : A Magyar Pszichiátriai Társaság tudományos folyóirata.,Psychiatr Hung,0237-7896,,Hungary,Psychiatry,1986,9426825
Human psychopharmacology.,Hum Psychopharmacol,0885-6222,1099-1077,England,Psychopharmacology,1986,8702539
International clinical psychopharmacology.,Int Clin Psychopharmacol,0268-1315,1473-5857,England,Psychopharmacology,1986,8609061
Annals of behavioral medicine : a publication of the Society of Behavioral Medicine.,Ann Behav Med,0883-6612,1532-4796,England,Behavioral Sciences,1985,8510246
Psychopathology.,Psychopathology,0254-4962,1423-033X,Switzerland,Psychiatry,1984,8401537
Pharmacopsychiatry.,Pharmacopsychiatry,0176-3679,1439-0795,Germany,Psychiatry; Psychopharmacology,1984,8402938
Behavioral sciences & the law.,Behav Sci Law,0735-3936,1099-0798,United States,Behavioral Sciences; Jurisprudence,1983,8404861
Behavioral neuroscience.,Behav Neurosci,0735-7044,1939-0084,United States,Behavioral Sciences; Neurology,1983,8302411
Journal of comparative psychology.,J Comp Psychol,0735-7036,1939-2087,United States,Psychology,1983,8309850
Journal of reproductive and infant psychology.,J Reprod Infant Psychol,0264-6838,1469-672X,England,Psychology; Reproductive Medicine,1983,8501885
International journal of psychophysiology : official journal of the International Organization of Psychophysiology.,Int J Psychophysiol,0167-8760,1872-7697,Netherlands,Psychophysiology,1983,8406214
Brain and cognition.,Brain Cogn,0278-2626,1090-2147,United States,Brain; Psychophysiology,1982,8218014
Progress in neuro-psychopharmacology & biological psychiatry.,Prog Neuropsychopharmacol Biol Psychiatry,0278-5846,1878-4216,England,Psychiatry; Psychopharmacology,1982,8211617
"Journal of experimental psychology. Learning, memory, and cognition.",J Exp Psychol Learn Mem Cogn,0278-7393,1939-1285,United States,Psychology,1982,8207540
"Health psychology : official journal of the Division of Health Psychology, American Psychological Association.",Health Psychol,0278-6133,1930-7810,United States,Psychology,1982,8211523
The International journal of eating disorders.,Int J Eat Disord,0276-3478,1098-108X,United States,Behavioral Sciences,1981,8111226
The British journal of clinical psychology,Br J Clin Psychol,0144-6657,,England,Psychology,1981,8105533
The British journal of social psychology,Br J Soc Psychol,0144-6665,2044-8309,England,Psychology,1981,8105534
Clinical psychology review.,Clin Psychol Rev,0272-7358,1873-7811,United States,Psychology,1981,8111117
Journal of clinical psychopharmacology.,J Clin Psychopharmacol,0271-0749,1533-712X,United States,Psychopharmacology,1981,8109496
Journal of psychoactive drugs.,J Psychoactive Drugs,0279-1072,2159-9777,United States,Psychopharmacology; Substance-Related Disorders,1981,8113536
Crisis.,Crisis,0227-5910,2151-2396,Canada,Behavioral Sciences,1980,8218602
Behavioural brain research.,Behav Brain Res,0166-4328,1872-7549,Netherlands,Behavioral Sciences; Brain,1980,8004872
Appetite.,Appetite,0195-6663,1095-8304,England,Behavioral Sciences; Nutritional Sciences,1980,8006808
Journal of developmental and behavioral pediatrics : JDBP.,J Dev Behav Pediatr,0196-206X,1536-7312,United States,Behavioral Sciences; Pediatrics,1980,8006933
Infant mental health journal.,Infant Ment Health J,0163-9641,1097-0355,United States,Behavioral Sciences; Pediatrics; Psychology,1980,8007859
"Psychotherapie, Psychosomatik, medizinische Psychologie.",Psychother Psychosom Med Psychol,0937-2032,1439-1058,Germany,Psychiatry,1980,8002823
Brain & development.,Brain Dev,0387-7604,1872-7131,Netherlands,Brain; Pediatrics,1979,7909235
Canadian journal of psychiatry. Revue canadienne de psychiatrie.,Can J Psychiatry,0706-7437,1497-0015,United States,Psychiatry,1979,7904187
Journal of affective disorders.,J Affect Disord,0165-0327,1573-2517,Netherlands,Psychiatry,1979,7906073
Psychiatry research.,Psychiatry Res,0165-1781,1872-7123,Ireland,Psychiatry,1979,7911385
Journal of marital and family therapy.,J Marital Fam Ther,0194-472X,1752-0606,United States,Psychiatry; Psychology; Therapeutics,1979,7904614
Journal of behavioral medicine.,J Behav Med,0160-7715,1573-3521,United States,Behavioral Sciences,1978,7807105
The Behavioral and brain sciences.,Behav Brain Sci,0140-525X,1469-1825,England,Behavioral Sciences; Brain; Neurology; Psychology,1978,7808666
Neuroscience and biobehavioral reviews.,Neurosci Biobehav Rev,0149-7634,1873-7528,United States,Behavioral Sciences; Neurology,1978,7806090
Infant behavior & development.,Infant Behav Dev,0163-6383,1879-0453,United States,Behavioral Sciences; Pediatrics,1978,7806016
The Psychiatric clinics of North America.,Psychiatr Clin North Am,0193-953X,1558-3147,United States,Psychiatry,1978,7708110
The Journal of clinical psychiatry.,J Clin Psychiatry,0160-6689,1555-2101,United States,Psychiatry,1978,7801243
Sleep.,Sleep,0161-8105,1550-9109,United States,Psychophysiology,1978,7809084
Law and human behavior.,Law Hum Behav,0147-7307,1573-661X,United States,Behavioral Sciences; Jurisprudence,1977,7801255
Behavior modification.,Behav Modif,0145-4455,1552-4167,United States,Behavioral Sciences; Psychiatry,1977,7803043
Cognitive science.,Cogn Sci,0364-0213,1551-6709,United States,Psychology,1977,7708195
Behavioural processes.,Behav Processes,0376-6357,1872-8308,Netherlands,Behavioral Sciences,1976,7703854
Suicide & life-threatening behavior.,Suicide Life Threat Behav,0363-0234,1943-278X,England,Behavioral Sciences; Psychiatry,1976,7608054
Clinical neuropharmacology.,Clin Neuropharmacol,0362-5664,1537-162X,United States,Psychopharmacology,1976,7607910
Psychopharmacology.,Psychopharmacology (Berl),0033-3158,1432-2072,Germany,Psychopharmacology,1976,7608025
Addictive behaviors.,Addict Behav,0306-4603,1873-6327,England,Behavioral Sciences; Substance-Related Disorders,1975,7603486
Journal of experimental psychology. General.,J Exp Psychol Gen,0096-3445,1939-2222,United States,Psychology,1975,7502587
Journal of experimental psychology. Human perception and performance.,J Exp Psychol Hum Percept Perform,0096-1523,1939-1277,United States,Psychology,1975,7502589
Personality & social psychology bulletin.,Pers Soc Psychol Bull,0146-1672,1552-7433,United States,Psychology,1975,7809042
Aggressive behavior.,Aggress Behav,0096-140X,1098-2337,United States,Behavioral Sciences,1974,7502265
Journal of homosexuality.,J Homosex,0091-8369,1540-3602,United States,Behavioral Sciences,1974,7502386
Journal of sex & marital therapy.,J Sex Marital Ther,0092-623X,1521-0715,England,Behavioral Sciences; Psychiatry,1974,7502387
Brain and language.,Brain Lang,0093-934X,1090-2155,Netherlands,Brain; Psychophysiology; Speech-Language Pathology,1974,7506220
Psychiatrische Praxis.,Psychiatr Prax,0303-4259,1439-0876,Germany,Psychiatry,1974,0423204
Journal of child language.,J Child Lang,0305-0009,1469-7602,England,Psychology,1974,0425743
Psychological research.,Psychol Res,0340-0727,1430-2772,Germany,Psychology,1974,0435062
"Pharmacology, biochemistry, and behavior.",Pharmacol Biochem Behav,0091-3057,1873-5177,United States,Behavioral Sciences; Biochemistry; Pharmacology; Psychopharmacology,1973,0367050
No shinkei geka. Neurological surgery.,No Shinkei Geka,0301-2603,1882-1251,Japan,Brain; Neurosurgery,1973,0377015
International journal of psychiatry in medicine.,Int J Psychiatry Med,0091-2174,1541-3527,United States,Psychiatry,1973,0365646
Memory & cognition.,Mem Cognit,0090-502X,1532-5946,United States,Psychology,1973,0357443
American journal of community psychology.,Am J Community Psychol,0091-0562,1573-2770,England,Psychology,1973,0364535
Journal of community psychology.,J Community Psychol,0090-4392,1520-6629,United States,Psychology,1973,0367033
Biological psychology.,Biol Psychol,0301-0511,1873-6246,Netherlands,Psychophysiology,1973,0375566
Journal of youth and adolescence.,J Youth Adolesc,0047-2891,1573-6601,United States,Behavioral Sciences; Pediatrics; Psychology,1972,0333507
International journal of offender therapy and comparative criminology.,Int J Offender Ther Comp Criminol,0306-624X,1552-6933,United States,Behavioral Sciences; Therapeutics,1972,0333601
Tijdschrift voor psychiatrie.,Tijdschr Psychiatr,0303-7339,,Netherlands,Psychiatry,1972,0423731
Cognition.,Cognition,0010-0277,1873-7838,Netherlands,Psychology,1972,0367541
Perception.,Perception,0301-0066,1468-4233,United States,Psychology; Psychophysiology,1972,0372307
Archives of sexual behavior.,Arch Sex Behav,0004-0002,1573-2800,United States,Behavioral Sciences; Psychiatry,1971,1273516
Journal of personality assessment.,J Pers Assess,0022-3891,1532-7752,England,Psychiatry; Psychology,1971,1260201
Journal of psycholinguistic research.,J Psycholinguist Res,0090-6905,1573-6555,United States,Psychology,1971,0333506
Behavior genetics.,Behav Genet,0001-8244,1573-3297,United States,Behavioral Sciences; Genetics,1970,0251711
Journal of behavior therapy and experimental psychiatry.,J Behav Ther Exp Psychiatry,0005-7916,1873-7943,Netherlands,Behavioral Sciences; Psychiatry; Therapeutics,1970,0245075
Behavior therapy.,Behav Ther,0005-7894,1878-1888,England,Behavioral Sciences; Therapeutics,1970,1251640
Psychological medicine.,Psychol Med,0033-2917,1469-8978,England,Psychology,1970,1254142
Cognitive psychology.,Cogn Psychol,0010-0285,1095-5623,Netherlands,Psychology,1970,0241111
Hormones and behavior.,Horm Behav,0018-506X,1095-6867,United States,Behavioral Sciences; Endocrinology,1969,0217764
Schizophrenia bulletin.,Schizophr Bull,0586-7614,1745-1701,United States,Psychiatry,1969,0236760
Biological psychiatry.,Biol Psychiatry,0006-3223,1873-2402,United States,Psychiatry; Psychophysiology,1969,0213264
Applied ergonomics.,Appl Ergon,0003-6870,1872-9126,England,Psychology,1969,0261412
Journal of applied behavior analysis.,J Appl Behav Anal,0021-8855,1938-3703,United States,Behavioral Sciences,1968,0174763
"Brain, behavior and evolution.",Brain Behav Evol,0006-8977,1421-9743,Switzerland,Behavioral Sciences; Biology; Brain,1968,0151620
Journal of consulting and clinical psychology.,J Consult Clin Psychol,0022-006X,1939-2117,United States,Psychology,1968,0136553
Journal of learning disabilities.,J Learn Disabil,0022-2194,1538-4780,United States,Psychology,1968,0157312
Journal of health and social behavior.,J Health Soc Behav,0022-1465,2150-6000,United States,Behavioral Sciences,1967,0103130
Psychiatria polska.,Psychiatr Pol,0033-2674,2391-5854,Poland,Psychiatry,1967,0103314
The Australian and New Zealand journal of psychiatry.,Aust N Z J Psychiatry,0004-8674,1440-1614,England,Psychiatry,1967,0111052
Physiology & behavior.,Physiol Behav,0031-9384,1873-507X,United States,Behavioral Sciences; Physiology; Psychophysiology,1966,0151504
Multivariate behavioral research.,Multivariate Behav Res,0027-3171,1532-7906,United States,Behavioral Sciences; Psychology; Statistics as Topic,1966,0046052
International journal of psychology : Journal international de psychologie.,Int J Psychol,0020-7594,1464-066X,England,Psychology,1966,0107305
Psychopharmacology bulletin.,Psychopharmacol Bull,0048-5764,2472-2448,United States,Psychopharmacology,1966,0101123
Journal of the history of the behavioral sciences.,J Hist Behav Sci,0022-5061,1520-6696,United States,Behavioral Sciences; History of Medicine,1965,18020010R
Journal of sex research.,J Sex Res,0022-4499,1559-8519,United States,Behavioral Sciences; Reproductive Medicine,1965,0062647
